,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
FEZF1,0,8.714481311,0.28,0.001,0,FRZB,FEZF1
TRUB2,1.8005091685763e-295,0.938064348,0.321,0.124,9.99732715851991e-291,MKI67,TRUB2
SURF6,1.80038937437559e-228,0.979108057,0.221,0.08,9.99666200122045e-224,MKI67,SURF6
MSTO1,1.79975482177487e-177,0.794382384,0.225,0.093,9.99313864790496e-173,MKI67,MSTO1
CPA6,0,7.120689754,0.152,0.001,0,FRZB,CPA6
LNPEP,1.79822890516368e-237,1.439317263,0.248,0.108,9.98466599592133e-233,GZMA,LNPEP
EXOC5,1.79820628038494e-151,0.8030652,0.195,0.081,9.98454037183739e-147,MKI67,EXOC5
NTRK3,0,5.210368746,0.205,0.007,0,FCRL5,NTRK3
RAB5IF,1.79520934501462e-117,0.772684201,0.417,0.279,9.96789988819365e-113,MKI67,RAB5IF
GAGE1,0,6.116850865,0.344,0.004,0,FRZB,GAGE1
SAMD9L,1.79244696225207e-246,0.799428338,0.428,0.212,9.95256175790462e-242,MKI67,SAMD9L
SLC5A6,1.79132665836293e-237,1.285185301,0.154,0.045,9.94634127056016e-233,MKI67,SLC5A6
GRIA3,0,5.911516322,0.172,0.002,0,FRZB,GRIA3
LINC01694,0,5.854541116,0.19,0.003,0,FRZB,LINC01694
CFI,0,4.734420343,0.293,0.013,0,FCRL5,CFI
MBD2,1.78558739422623e-270,0.89673383,0.443,0.217,9.91447400644115e-266,MKI67,MBD2
AGO2,1.78485950124673e-197,0.796821043,0.241,0.098,9.9104323806725e-193,MKI67,AGO2
HGF,0,4.542238967,0.566,0.041,0,FCRL5,HGF
GAGE2A,0,5.815414781,0.308,0.005,0,FRZB,GAGE2A
FRGCA,0,5.755224882,0.69,0.014,0,FRZB,FRGCA
MC4R,0,5.753696657,0.377,0.009,0,FRZB,MC4R
TMPRSS3,0,5.710940249,0.263,0.005,0,FRZB,TMPRSS3
BMPR1B,0,5.63948858,0.197,0.003,0,FRZB,BMPR1B
CCDC85A,0,4.44184297,0.206,0.013,0,FCRL5,CCDC85A
LINC00504,0,5.618759711,0.214,0.005,0,FRZB,LINC00504
KPNA6,1.77865012149745e-236,0.804628333,0.284,0.115,9.87595479961459e-232,MKI67,KPNA6
TEX101,0,5.561726954,0.222,0.005,0,FRZB,TEX101
DUSP13,0,5.514422268,0.292,0.005,0,FRZB,DUSP13
JAK1,1.77753081366404e-162,0.836053002,0.478,0.328,9.8697398428696e-158,GZMA,JAK1
TMEM161B,1.77751680845527e-181,1.018696138,0.18,0.067,9.8696620789479e-177,MKI67,TMEM161B
EDN1,0,5.48171039,0.444,0.011,0,FRZB,EDN1
POPDC3,0,5.409388593,0.384,0.012,0,FRZB,POPDC3
ADAD2,0,5.309875185,0.322,0.005,0,FRZB,ADAD2
FES,0,4.426582041,0.205,0.015,0,FCRL5,FES
GOLM1,0,4.197290689,0.298,0.032,0,FCRL5,GOLM1
KCNS3,0,4.177724526,0.182,0.015,0,FCRL5,KCNS3
OVAAL,0,5.196630803,0.187,0.003,0,FRZB,OVAAL
SV2C,0,5.081309772,0.234,0.005,0,FRZB,SV2C
C19orf81,0,4.053062435,0.35,0.03,0,FCRL5,C19orf81
AF127936.2,0,4.037675215,0.162,0.015,0,FCRL5,AF127936.2
MAGEB2,0,5.068280221,0.543,0.013,0,FRZB,MAGEB2
CTAG2,0,3.973352587,0.365,0.025,0,FCRL5,CTAG2
