,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
ASXL2,1.76828298071919e-69,0.951885512,0.168,0.097,9.81839125044331e-65,GZMA,ASXL2
S100A10,1.76807947476055e-175,0.797578874,0.573,0.42,9.81726128360798e-171,GZMA,S100A10
INO80C,1.76737319748698e-297,1.015079739,0.295,0.11,9.81333967904644e-293,MKI67,INO80C
HOMER3,1.76675588162035e-46,0.770614977,0.182,0.134,9.80991203269698e-42,CD19,HOMER3
NELFA,1.76656414307775e-188,0.904671331,0.192,0.072,9.80884740443923e-184,MKI67,NELFA
STK101,1.76500044516432e-187,0.843569261,0.21,0.082,9.80016497177487e-183,MKI67,STK10
CNTN5,0,5.007705768,0.721,0.03,0,FRZB,CNTN5
REC114,0,4.951554053,0.17,0.004,0,FRZB,REC114
AL513493.1,0,4.937406194,0.164,0.005,0,FRZB,AL513493.1
PCM1,1.76191901914581e-91,0.943035767,0.268,0.169,9.78305535380712e-87,GZMA,PCM1
TPTE2,0,3.944258913,0.183,0.021,0,FCRL5,TPTE2
USB1,1.76122902588025e-219,1.057134847,0.199,0.07,9.77922416620011e-215,MKI67,USB1
CNTN1,0,4.924444841,0.273,0.007,0,FRZB,CNTN1
ENOPH1,1.75966803109959e-284,0.941323866,0.346,0.143,9.77055674268047e-280,MKI67,ENOPH1
CIP2A1,0,3.876215646,0.364,0.052,0,FCRL5,CIP2A
FUBP3,1.75809886256745e-225,0.873007721,0.234,0.088,9.76184393440578e-221,MKI67,FUBP3
RPS4Y1,1.75785440428695e-286,1.06497576,0.462,0.259,9.76048657980327e-282,GZMA,RPS4Y1
LYG2,0,4.911660874,0.371,0.012,0,FRZB,LYG2
AC245014.3,0,3.838528709,0.667,0.1,0,FCRL5,AC245014.3
AL353753.1,0,4.805736936,0.198,0.008,0,FRZB,AL353753.1
AC104248.1,0,4.697866284,0.556,0.022,0,FRZB,AC104248.1
JAM2,0,4.54417862,0.267,0.01,0,FRZB,JAM2
FAM118B,1.75351948194907e-140,0.921784032,0.15,0.057,9.7364169235222e-136,MKI67,FAM118B
LINC01602,0,4.515587557,0.188,0.006,0,FRZB,LINC01602
PTGS2,0,4.460266771,0.519,0.026,0,FRZB,PTGS2
TMEM176A,0,3.808252864,0.409,0.046,0,FCRL5,TMEM176A
TCF12,1.75068149150798e-156,0.802122519,0.192,0.078,9.72065898159807e-152,MKI67,TCF12
IGKV3-11,1.75011454473677e-30,0.98434691,0.152,0.121,9.7175110096509e-26,TNFRSF4,IGKV3-11
CEPT1,1.74996909059071e-170,0.759557059,0.219,0.091,9.71670337550493e-166,MKI67,CEPT1
NOL41,0,4.380103552,0.489,0.017,0,FRZB,NOL4
DKK1,0,4.304958611,0.898,0.062,0,FRZB,DKK1
AL805961.1,0,4.267571705,0.361,0.02,0,FRZB,AL805961.1
CHRNA5,0,4.261982686,0.28,0.017,0,FRZB,CHRNA5
ISL2,0,4.250760554,0.601,0.046,0,FRZB,ISL2
PRAME,0,3.76629097,0.223,0.03,0,FCRL5,PRAME
DMRT2,0,4.188122202,0.228,0.01,0,FRZB,DMRT2
FCRLB,0,3.765162762,0.362,0.045,0,FCRL5,FCRLB
MYF6,0,3.710087442,0.153,0.022,0,FCRL5,MYF6
LINC02562,0,4.157673266,0.159,0.01,0,FRZB,LINC02562
TFF21,0,4.119727671,0.775,0.041,0,FRZB,TFF2
TRPM4,0,4.101341309,0.801,0.046,0,FRZB,TRPM4
FGF13,0,4.1011886,0.214,0.01,0,FRZB,FGF13
SPINT1-AS1,0,4.069775779,0.676,0.04,0,FRZB,SPINT1-AS1
CTNNA2,0,4.065459273,0.227,0.009,0,FRZB,CTNNA2
PTHLH,0,4.058351643,0.534,0.032,0,FRZB,PTHLH
SOHLH1,0,3.977156009,0.163,0.007,0,FRZB,SOHLH1
FGFR3,0,3.690226646,0.575,0.046,0,FCRL5,FGFR3
TYROBP1,1.737721863307e-113,1.586561276,0.242,0.111,9.64870064601209e-109,PGA5,TYROBP
PAGE1,0,3.945494357,0.173,0.009,0,FRZB,PAGE1
ATP10B,0,3.943429203,0.562,0.037,0,FRZB,ATP10B
PPP1R14D,0,3.89355094,0.151,0.009,0,FRZB,PPP1R14D
ADAMTSL5,0,3.878243957,0.186,0.013,0,FRZB,ADAMTSL5
CD163L1,0,3.855791877,0.431,0.024,0,FRZB,CD163L1
ETV7,0,3.666891319,0.226,0.04,0,FCRL5,ETV7
RPS6KB2-AS1,0,3.854330507,0.151,0.009,0,FRZB,RPS6KB2-AS1
CD33,0,3.852904902,0.396,0.025,0,FRZB,CD33
PXDN,0,3.829077451,0.235,0.014,0,FRZB,PXDN
DAB2,0,3.825310341,0.277,0.017,0,FRZB,DAB2
LYPD6B,0,3.79593944,0.652,0.043,0,FRZB,LYPD6B
TMEM223,1.7312386265842e-298,0.873623531,0.368,0.153,9.6127024741088e-294,MKI67,TMEM223
NOL4,0,3.637322548,0.151,0.018,0,FCRL5,NOL4
IGKC1,1.73071737516773e-180,1.314579559,0.775,0.672,9.60980822561885e-176,JCHAIN,IGKC
AC007952.4,0,3.628421424,0.637,0.112,0,FCRL5,AC007952.4
LINC00992,0,3.787104827,0.172,0.01,0,FRZB,LINC00992
MLLT11,0,3.620114592,0.237,0.032,0,FCRL5,MLLT11
HOMER2,0,3.779318976,0.44,0.036,0,FRZB,HOMER2
ARMT1,1.72691147484338e-295,1.212537473,0.212,0.066,9.58867596406784e-291,MKI67,ARMT1
ST5,0,3.778912818,0.265,0.02,0,FRZB,ST5
CCDC85A1,0,3.762807892,0.336,0.014,0,FRZB,CCDC85A
SLCO5A1,0,3.692192552,0.508,0.047,0,FRZB,SLCO5A1
RITA1,1.72326908442884e-299,1.225672706,0.207,0.063,9.56845159129116e-295,MKI67,RITA1
KCNS31,0,3.686770087,0.312,0.017,0,FRZB,KCNS3
FABP6,0,3.681801607,0.275,0.02,0,FRZB,FABP6
AC016745.2,0,3.612307584,0.187,0.023,0,FCRL5,AC016745.2
APLP1,0,3.660526662,0.222,0.018,0,FRZB,APLP1
CTBP1,1.72076957246484e-258,0.775057614,0.377,0.17,9.554573051111e-254,MKI67,CTBP1
pS16 (Metallothionein)1,1.7192080586851e-129,1.17831643,0.183,0.082,9.54590274584902e-125,MKI67,pS16 (Metallothionein)
AAMDC1,0,3.659228687,0.729,0.085,0,FRZB,AAMDC
AL391807.1,0,3.546577691,0.165,0.02,0,FCRL5,AL391807.1
MED24,1.71719627934854e-300,1.191560629,0.217,0.067,9.53473234108275e-296,MKI67,MED24
INTS3,1.71675125131932e-134,0.773814075,0.159,0.063,9.53226132295054e-130,MKI67,INTS3
HBG2,0,3.62222378,0.161,0.007,0,FRZB,HBG2
CD2001,0,3.621202612,0.677,0.058,0,FRZB,CD200
HBD2,0,3.608177318,0.751,0.078,0,FRZB,HBD
ADM,0,3.590612928,0.919,0.131,0,FRZB,ADM
TMEM189,1.71310235156944e-222,1.127908938,0.156,0.047,9.51200080708933e-218,MKI67,TMEM189
HN11,1.71215595606532e-183,0.797487054,0.207,0.086,9.50674594605266e-179,GZMA,HN1
TMEM176B,0,3.488099714,0.414,0.056,0,FCRL5,TMEM176B
H1F0,0,3.444822683,0.246,0.03,0,FCRL5,H1F0
CFD,0,3.584671941,0.583,0.053,0,FRZB,CFD
MORC1,0,3.405252979,0.184,0.028,0,FCRL5,MORC1
MED13,1.71022438040958e-39,0.760863112,0.18,0.123,9.49602087222419e-35,GZMA,MED13
ULK3,0,3.568470317,0.737,0.086,0,FRZB,ULK3
PLPP2,0,3.566395447,0.641,0.051,0,FRZB,PLPP2
COP1,1.7097160363257e-152,1.033263169,0.158,0.06,9.49319829169843e-148,MKI67,COP1
GRAMD2B,5.36324670815332e-275,3.512337423,0.15,0.015,2.97794273470213e-270,FRZB,GRAMD2B
ELOVL4,0,3.495406297,0.18,0.012,0,FRZB,ELOVL4
AFAP1-AS1,0,3.486084165,0.199,0.014,0,FRZB,AFAP1-AS1
BTLA,0,3.480203024,0.797,0.097,0,FRZB,BTLA
MIR99AHG,0,3.40436271,0.156,0.018,0,FCRL5,MIR99AHG
LILRB4,0,3.360526281,0.623,0.11,0,FCRL5,LILRB4
BCL7C,1.70524757568217e-300,1.021866385,0.291,0.106,9.46838716397527e-296,MKI67,BCL7C
ARRB2,1.70486102293837e-139,1.472931856,0.15,0.064,9.46624082986532e-135,GZMA,ARRB2
OSBPL1A,0,3.460170491,0.352,0.033,0,FRZB,OSBPL1A
WFDC2,0,3.325393338,0.586,0.091,0,FCRL5,WFDC2
RPP251,0,3.40017726,0.746,0.087,0,FRZB,RPP25
DHRS9,0,3.292300141,0.314,0.047,0,FCRL5,DHRS9
NUDT12,0,3.397164044,0.157,0.014,0,FRZB,NUDT12
TSR2,1.701477442678e-295,1.074868996,0.285,0.105,9.44745350046962e-291,MKI67,TSR2
MANEA-DT,0,3.283205295,0.307,0.063,0,FCRL5,MANEA-DT
CYB5A,1.69821786941052e-267,0.822167123,0.428,0.206,9.42935471990189e-263,MKI67,CYB5A
POMC1,0,3.38258501,0.758,0.086,0,FRZB,POMC
NXPE4,0,3.375095797,0.307,0.027,0,FRZB,NXPE4
NEB,0,3.278101145,0.554,0.091,0,FCRL5,NEB
TP53I11,0,3.371584595,0.155,0.013,0,FRZB,TP53I11
HSPA4L,0,3.360407552,0.17,0.016,0,FRZB,HSPA4L
ECHS1,1.69520807537185e-306,0.805190972,0.542,0.28,9.41264283850219e-302,MKI67,ECHS1
BEX3,0,3.275500311,0.363,0.066,0,FCRL5,BEX3
GNG11,0,3.350060075,0.182,0.015,0,FRZB,GNG11
C7orf732,1.6908502278695e-230,1.011058241,0.191,0.063,9.38844589024539e-226,MKI67,C7orf73
CXADR,0,3.345723808,0.24,0.02,0,FRZB,CXADR
SLC22A171,0,3.340195162,0.582,0.053,0,FRZB,SLC22A17
MAGEA3,0,3.335133998,0.289,0.023,0,FRZB,MAGEA3
NSMCE1,1.68672970803627e-269,0.795122495,0.406,0.185,9.36556670387141e-265,MKI67,NSMCE1
RFESD,8.39235520194423e-289,3.329599285,0.169,0.018,4.65985522587954e-284,FRZB,RFESD
LURAP1L,0,3.315493509,0.163,0.013,0,FRZB,LURAP1L
ABCG2,0,3.310842355,0.287,0.026,0,FRZB,ABCG2
SERPINE2,0,3.255493203,0.253,0.043,0,FCRL5,SERPINE2
STXBP6,0,3.254715142,0.258,0.046,0,FCRL5,STXBP6
NEK61,0,3.301065233,0.529,0.065,0,FRZB,NEK6
BTBD3,0,3.29271946,0.637,0.059,0,FRZB,BTBD3
FNBP1,1.68352280620565e-287,0.972832503,0.51,0.309,9.34776038145689e-283,GZMA,FNBP1
PLK3,1.68338804691181e-288,0.869753572,0.175,0.089,9.3470121304778e-284,MCL1,PLK3
EEF1AKMT41,0,3.256254592,0.475,0.056,0,FRZB,EEF1AKMT4
FRYL,1.68223982229405e-47,0.790061531,0.159,0.1,9.34063661328774e-43,GZMA,FRYL
SLC22A17,0,3.244208127,0.289,0.053,0,FCRL5,SLC22A17
SVOP,0,3.251302653,0.344,0.033,0,FRZB,SVOP
SERTAD3,0,3.238177279,0.616,0.083,0,FRZB,SERTAD3
GLYR1,1.67753389418892e-271,0.978507845,0.293,0.114,9.31450694748398e-267,MKI67,GLYR1
MAD2L1BP,1.67704350833232e-180,1.027331947,0.171,0.061,9.31178408001521e-176,MKI67,MAD2L1BP
PTPRCAP1,1.67629431161354e-53,0.787816201,0.243,0.14,9.30762416523419e-49,PGA5,PTPRCAP
ACTR3B,0,3.182704909,0.177,0.015,0,FRZB,ACTR3B
AL031777.3,0,3.23006013,0.304,0.055,0,FCRL5,AL031777.3
TYROBP,1.67359228811489e-183,1.731923425,0.226,0.108,9.29262117975791e-179,GZMA,TYROBP
IL5RA,0,3.172825168,0.775,0.081,0,FRZB,IL5RA
AC007993.3,0,3.167945739,0.225,0.026,0,FRZB,AC007993.3
SELL,1.67203654532367e-235,1.01696818,0.219,0.078,9.2839829179097e-231,MKI67,SELL
EGR2,2.54077747624875e-304,3.157663652,0.219,0.028,1.41076669368712e-299,FRZB,EGR2
C1orf21,0,3.195370081,0.195,0.036,0,FCRL5,C1orf21
PI4KB,1.66855597944358e-209,0.828066346,0.249,0.1,9.2646570758605e-205,MKI67,PI4KB
DOK4,3.02458784202138e-239,3.146377153,0.159,0.019,1.67940239928237e-234,FRZB,DOK4
C19orf101,1.66803169448242e-260,0.754887571,0.329,0.139,9.26174598361364e-256,GZMA,C19orf10
ADAL,1.66802516569507e-201,1.010132369,0.161,0.052,9.26170973252187e-197,MKI67,ADAL
RAMMET2,0,3.14399105,0.808,0.113,0,FRZB,RAMMET
IGKV4-1,1.66726705043941e-71,1.059570982,0.26,0.201,9.25750029756483e-67,TNFRSF4,IGKV4-1
CUL2,1.66555697487543e-215,1.009847108,0.196,0.069,9.24800510299583e-211,MKI67,CUL2
AP2B11,1.66443246449102e-300,1.039589739,0.273,0.097,9.2417612590864e-296,MKI67,AP2B1
RNF220,1.66397946903828e-192,0.841876345,0.215,0.084,9.23924600183505e-188,MKI67,RNF220
LIAS,1.66394614624804e-140,0.832640112,0.157,0.061,9.23906097704225e-136,MKI67,LIAS
RGS13,0,3.140837473,0.61,0.052,0,FRZB,RGS13
SCNM1,1.66280487077347e-305,0.905544019,0.338,0.133,9.2327240449697e-301,MKI67,SCNM1
CCDC80,0,3.116226592,0.15,0.012,0,FRZB,CCDC80
GZMB1,0,3.178189862,0.476,0.093,0,FCRL5,GZMB
C2,0,3.111369252,0.571,0.065,0,FRZB,C2
TMEM261,1.66101022588403e-198,1.063894767,0.151,0.047,9.2227592792211e-194,MKI67,TMEM261
LINC00920,0,3.110667029,0.206,0.021,0,FRZB,LINC00920
MARCH7,1.660550242848e-230,0.772929655,0.3,0.125,9.22020522341353e-226,MKI67,MARCH7
SAFB2,1.66026358103924e-246,0.77080466,0.444,0.224,9.21861353372038e-242,MKI67,SAFB2
UCHL12,0,3.154708154,0.679,0.095,0,FCRL5,UCHL1
HIST2H2BF,0,3.116821128,0.3,0.064,0,FCRL5,HIST2H2BF
KCNK9,0,3.079000283,0.218,0.04,0,FCRL5,KCNK9
AMPD1,1.6572606582644e-286,0.795255069,0.18,0.093,9.20193980501306e-282,MCL1,AMPD1
PDCD4-AS1,0,3.102588835,0.294,0.033,0,FRZB,PDCD4-AS1
METTL2A,1.65623659942544e-262,1.089149463,0.218,0.073,9.19625371830973e-258,MKI67,METTL2A
AL662844.4,9.00808602790464e-265,3.074501638,0.154,0.032,5.00173976699405e-260,FCRL5,AL662844.4
CTU1,1.65535384762431e-201,0.960260027,0.161,0.052,9.19135223893396e-197,MKI67,CTU1
CSNK1G2,1.65525593041753e-253,1.161484864,0.231,0.083,9.19080855364335e-249,MKI67,CSNK1G2
MFAP3L,3.63064894135671e-277,3.101220689,0.184,0.022,2.01591782468831e-272,FRZB,MFAP3L
TFF31,0,3.082665189,0.764,0.079,0,FRZB,TFF3
CISH,2.14113709987099e-280,3.066464855,0.156,0.031,1.18886637470337e-275,FCRL5,CISH
RRAS21,0,3.081820997,0.574,0.085,0,FRZB,RRAS2
MAP9,0,3.00279502,0.193,0.041,0,FCRL5,MAP9
KDELR3,0,3.073163411,0.747,0.125,0,FRZB,KDELR3
KCNK91,0,3.062997613,0.425,0.04,0,FRZB,KCNK9
LGALS3BP,0,2.985166686,0.548,0.117,0,FCRL5,LGALS3BP
PTAR1,1.64760474979181e-227,0.912449833,0.228,0.084,9.148325373219e-223,MKI67,PTAR1
AC099778.1,3.30889330948069e-254,2.938024272,0.167,0.038,1.83726301008915e-249,FCRL5,AC099778.1
MB21D2,0,3.053873239,0.284,0.036,0,FRZB,MB21D2
SELL1,0,2.917917172,0.323,0.078,0,FCRL5,SELL
CHSY1,1.64506711061856e-149,0.898891514,0.152,0.056,9.13423513170956e-145,MKI67,CHSY1
TPD52L2,1.64440139271465e-228,0.804223319,0.312,0.135,9.13053873304812e-224,MKI67,TPD52L2
NXPE3,1.64330901372123e-255,0.756804571,0.452,0.225,9.12447329868715e-251,MKI67,NXPE3
NCKAP1,0,3.048109944,0.417,0.041,0,FRZB,NCKAP1
LRMDA,0,3.004536057,0.187,0.016,0,FRZB,LRMDA
DHX8,1.6405480777748e-154,0.929574752,0.152,0.055,9.10914320184458e-150,MKI67,DHX8
RASGEF1B,1.64030001248252e-32,0.810830316,0.151,0.104,9.10776581930917e-28,GZMA,RASGEF1B
ITSN1,0,2.998647299,0.282,0.035,0,FRZB,ITSN1
TMC4,1.97339027315654e-223,2.988500575,0.151,0.018,1.09572494917017e-218,FRZB,TMC4
NSD22,0,2.915409134,0.562,0.107,0,FCRL5,NSD2
GLOD4,1.63713707157083e-206,0.786176093,0.268,0.112,9.09020358989706e-202,MKI67,GLOD4
LYSMD4,1.74246925447083e-299,2.971027008,0.208,0.026,9.67506053544926e-295,FRZB,LYSMD4
SQOR1,0,2.949457531,0.786,0.144,0,FRZB,SQOR
TRIM61,2.96238994951252e-265,2.948768831,0.189,0.024,1.64486701946683e-260,FRZB,TRIM61
HIST1H4E,0,2.878860141,0.24,0.047,0,FCRL5,HIST1H4E
ICA1,0,2.94191649,0.33,0.043,0,FRZB,ICA1
EPDR1,1.44495258635526e-267,2.939705865,0.168,0.019,8.02309923573758e-263,FRZB,EPDR1
LINC02384,0,2.874047768,0.4,0.105,0,FCRL5,LINC02384
CAV2,0,2.930548829,0.371,0.045,0,FRZB,CAV2
AC091271.1,3.80750595349389e-167,2.76643031,0.153,0.044,2.11411768067748e-162,FCRL5,AC091271.1
LRRC24,0,2.92970221,0.344,0.043,0,FRZB,LRRC24
FRZB,0,2.92795491,0.999,0.174,0,FRZB,FRZB
DGAT2,3.08033654974209e-288,2.923677862,0.217,0.029,1.7103568692443e-283,FRZB,DGAT2
TPTE21,0,2.918857673,0.24,0.023,0,FRZB,TPTE2
TMEM238,1.62824789026379e-170,0.804310967,0.189,0.099,9.04084641068972e-166,CD19,TMEM238
PINX1.1,0,2.916915561,0.307,0.038,0,FRZB,PINX1.1
FRMD8,1.62697666501613e-153,0.876411904,0.163,0.062,9.03378793250208e-149,MKI67,FRMD8
BTBD7,1.62665642810023e-203,0.815085841,0.241,0.096,9.03200981702653e-199,MKI67,BTBD7
GBP21,0,2.757647813,0.22,0.054,0,FCRL5,GBP2
CD180,0,2.740987674,0.436,0.132,0,FCRL5,CD180
WDR42,0,2.910579561,0.338,0.051,0,FRZB,WDR4
PDCD2L1,0,2.896985416,0.45,0.068,0,FRZB,PDCD2L
RRP9,1.62449103915016e-261,1.136876434,0.213,0.071,9.01998649488129e-257,MKI67,RRP9
DMAC21,0,2.880788959,0.49,0.076,0,FRZB,DMAC2
AL354707.1,0,2.876644687,0.27,0.041,0,FRZB,AL354707.1
TRAT1,0,2.862802622,0.335,0.037,0,FRZB,TRAT1
CPVL,0,2.725021452,0.254,0.053,0,FCRL5,CPVL
GSK3B,1.62184263592363e-184,0.767024785,0.226,0.092,9.00528123596594e-180,MKI67,GSK3B
RRAGD1,0,2.856928415,0.53,0.082,0,FRZB,RRAGD
PLEKHO11,0,2.855969403,0.758,0.134,0,FRZB,PLEKHO1
HIST2H2BE,0,2.722143324,0.583,0.139,0,FCRL5,HIST2H2BE
SLC35G2,2.37589031918263e-278,2.85261303,0.217,0.03,1.31921309972615e-273,FRZB,SLC35G2
BRD4,1.62038327447204e-266,0.775883338,0.442,0.214,8.99717813150602e-262,MKI67,BRD4
MSMO1,1.6199846059947e-187,1.022049774,0.201,0.077,8.9949645247856e-183,MKI67,MSMO1
FBLN2,8.88417200343403e-277,2.842694468,0.151,0.015,4.93293650490675e-272,FRZB,FBLN2
MTX1,1.61974846357312e-305,0.815211113,0.47,0.222,8.99365334398977e-301,MKI67,MTX1
LRRC28,0,2.831374167,0.508,0.08,0,FRZB,LRRC28
SCCPDH,1.61631607321839e-166,1.106231765,0.162,0.059,8.97459499654511e-162,MKI67,SCCPDH
ATR,1.6153291895142e-140,0.80531226,0.159,0.062,8.96911532477762e-136,MKI67,ATR
TSPAN7,0,2.803744199,0.226,0.028,0,FRZB,TSPAN7
AL627171.1,2.02649231182764e-261,2.70590685,0.204,0.053,1.1252098561423e-256,FCRL5,AL627171.1
PTP4A3,0,2.704148849,0.636,0.167,0,FCRL5,PTP4A3
RNF19A,1.61348119382045e-259,1.309307277,0.361,0.187,8.95885432868807e-255,GZMA,RNF19A
PLEKHF1,6.03108229715211e-286,2.803093002,0.249,0.037,3.34875844549371e-281,FRZB,PLEKHF1
C16orf95,1.12272053720792e-192,2.793149005,0.161,0.023,6.233905782847e-188,FRZB,C16orf95
LINC01781,0,2.683344809,0.748,0.15,0,FCRL5,LINC01781
SPINT11,0,2.785277594,0.398,0.053,0,FRZB,SPINT1
EIPR1,1.61011825289836e-125,0.971766373,0.173,0.075,8.94018159921815e-121,MKI67,EIPR1
C1R,0,2.783656626,0.491,0.072,0,FRZB,C1R
BSPRY,1.19087874709406e-254,2.778469579,0.181,0.022,6.61235424323975e-250,FRZB,BSPRY
SLCO3A1,5.45200630060587e-239,2.671752691,0.192,0.051,3.02722649841141e-234,FCRL5,SLCO3A1
PCDH91,0,2.664386918,0.356,0.066,0,FCRL5,PCDH9
CLGN,0,2.774481493,0.197,0.022,0,FRZB,CLGN
AC007950.2,3.9973763851866e-281,2.772086584,0.155,0.015,2.21954323787486e-276,FRZB,AC007950.2
RPS6KL1,8.66890668378644e-211,2.752526338,0.153,0.019,4.81341043617242e-206,FRZB,RPS6KL1
GATC,1.60398103892954e-247,1.143501039,0.183,0.057,8.90610471865629e-243,MKI67,GATC
SCAMP4,1.60369139472364e-175,0.826971309,0.193,0.074,8.90449646920303e-171,MKI67,SCAMP4
GTSF12,0,2.748802082,0.623,0.095,0,FRZB,GTSF1
pEpi37 (mitochondrial genes),1.60329411974525e-101,1.100172125,0.222,0.175,8.90229059988552e-97,IGHA2,pEpi37 (mitochondrial genes)
NCAM11,3.82760962503644e-297,2.661569788,0.217,0.054,2.12528024430149e-292,FCRL5,NCAM1
MTCO3P18,1.60251586132711e-09,1.607745379,0.231,0.222,8.89796932001879e-05,GZMA,MTCO3P18
AC243960.1,0,2.580872823,0.454,0.133,0,FCRL5,AC243960.1
MGST2,1.60210015935905e-268,1.095133899,0.239,0.083,8.8956611348411e-264,MKI67,MGST2
COG2,1.60072254642917e-175,0.785830116,0.197,0.077,8.88801193904798e-171,MKI67,COG2
RPUSD21,0,2.748727559,0.379,0.057,0,FRZB,RPUSD2
SPOUT11,0,2.747527312,0.44,0.076,0,FRZB,SPOUT1
SNAPIN,1.59933207727576e-245,0.85222674,0.311,0.13,8.88029135907367e-241,MKI67,SNAPIN
LTBP1,7.13272864416015e-202,2.737865024,0.162,0.022,3.96044757966992e-197,FRZB,LTBP1
LY86,1.75643863467678e-261,2.567713499,0.191,0.047,9.75262551904284e-257,FCRL5,LY86
SLAMF11,0,2.731173266,0.758,0.152,0,FRZB,SLAMF1
SOCS2,4.58306554311271e-269,2.729240659,0.244,0.038,2.54474714281333e-264,FRZB,SOCS2
NES,0,2.523742177,0.232,0.049,0,FCRL5,NES
LSAMP1,0,2.727961787,0.657,0.08,0,FRZB,LSAMP
CLEC2B1,1.5919013822624e-213,0.806044968,0.42,0.224,8.83903242501198e-209,MKI67,CLEC2B
FCRLA,0,2.520517436,0.673,0.178,0,FCRL5,FCRLA
JOSD1,1.59088992741324e-56,0.820956455,0.188,0.119,8.83341632196202e-52,GZMA,JOSD1
PTPN181,1.58806061367046e-276,0.92304337,0.286,0.108,8.81770655740525e-272,MKI67,PTPN18
GPRC5D,0,2.517066176,0.438,0.107,0,FCRL5,GPRC5D
IGKV1-5,1.58780866194844e-39,0.859291832,0.185,0.147,8.81630759546874e-35,TNFRSF4,IGKV1-5
MRM21,0,2.727112024,0.357,0.062,0,FRZB,MRM2
CNN2,1.58475824226664e-261,0.866135449,0.456,0.23,8.79937014018549e-257,MKI67,CNN2
AC012368.1,0,2.485662574,0.289,0.081,0,FCRL5,AC012368.1
PPIP5K2,1.58395877043513e-192,0.850080174,0.28,0.126,8.79493107284108e-188,MKI67,PPIP5K2
ZCCHC111,1.58212966750414e-237,1.080495536,0.183,0.064,8.78477497881673e-233,GZMA,ZCCHC11
KCNA3,0,2.720743542,0.599,0.123,0,FRZB,KCNA3
